date,prix_diesel_france_eur_L
2016-09-05,1.11348
2016-09-12,1.11027
2016-09-19,1.1113499999999998
2016-09-26,1.10707
2016-10-03,1.11443
2016-10-10,1.14031
2016-10-17,1.1606500000000002
2016-10-24,1.16532
2016-10-31,1.16824
2016-11-07,1.15718
2016-11-14,1.1354000000000002
2016-11-21,1.13538
2016-11-28,1.1538
2016-12-05,1.15842
2016-12-12,1.18246
2016-12-19,1.1990699999999999
2017-01-02,1.22224
2017-01-09,1.27335
2017-01-16,1.26758
2017-01-23,1.26319
2017-01-30,1.2618399999999999
2017-02-06,1.26245
2017-02-13,1.26469
2017-02-20,1.26715
2017-02-27,1.2682
2017-03-06,1.26697
2017-03-13,1.25979
2017-03-20,1.23881
2017-03-27,1.2254
2017-04-03,1.22078
2017-04-10,1.23713
2017-04-24,1.25475
2017-05-01,1.23782
2017-05-08,1.2157200000000001
2017-05-15,1.20415
2017-05-22,1.20723
2017-05-29,1.21249
2017-06-05,1.20956
2017-06-12,1.19162
2017-06-19,1.17544
2017-06-26,1.1641700000000001
2017-07-03,1.16037
2017-07-10,1.17032
2017-07-17,1.1735499999999999
2017-07-24,1.1807999999999998
2017-07-31,1.17388
2017-08-07,1.1991500000000002
2017-08-14,1.1994
2017-08-21,1.19754
2017-08-28,1.1938
2017-09-04,1.18927
2017-09-11,1.2153800000000001
2017-09-18,1.22039
2017-09-25,1.231
2017-10-02,1.25012
2017-10-09,1.2463
2017-10-16,1.23931
2017-10-23,1.23484
2017-10-30,1.24135
2017-11-06,1.25707
2017-11-13,1.2737
2017-11-20,1.27812
2017-11-27,1.2768199999999998
2017-12-04,1.2770299999999999
2017-12-11,1.27169
2017-12-18,1.2785199999999999
2018-01-01,1.2866199999999999
2018-01-08,1.3935
2018-01-15,1.39798
2018-01-22,1.3981400000000002
2018-01-29,1.3948800000000001
2018-02-05,1.39448
2018-02-12,1.38849
2018-02-19,1.36667
2018-02-26,1.36263
2018-03-05,1.37325
2018-03-12,1.36604
2018-03-19,1.36235
2018-03-26,1.376
2018-04-09,1.3883599999999998
2018-04-16,1.39652
2018-04-23,1.40591
2018-04-30,1.41804
2018-05-07,1.42395
2018-05-14,1.43873
2018-05-21,1.4610699999999999
2018-05-28,1.48168
2018-06-04,1.47911
2018-06-11,1.4670999999999998
2018-06-18,1.46484
2018-06-25,1.45749
2018-07-02,1.45096
2018-07-09,1.4488800000000002
2018-07-16,1.45498
2018-07-23,1.44245
2018-07-30,1.43422
2018-08-06,1.4453699999999998
2018-08-13,1.44773
2018-08-20,1.45171
2018-08-27,1.45224
